ISO,Expenditure_per_student_secondary,Health_expenditure_per_person,pop2010,GDP2011,Per capita government expenditure on health (PPP int. $),Expenditure_per_student_tertiary,Improved_water_source,Income_per_person,Poverty_headcount_ratio_at_national_poverty_line,Present_value_of_debt,Population with sustainable access to improved sanitation (%) total,Aid_given,Gross national income per capita (PPP international $),Democracy_score,General government expenditure on health as percentage of total expenditure on health,Population annual growth rate (%),Population median age (years),Per capita government expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Healthy life expectancy (HALE) at birth (years) both sexes,Continent,Country,Gold,Silver,Bronze,,health/gm,health/sm,health/bm,,edu/gm,edu/sm,edu/bm,,ImpWater/gm,ImpWater/sm,ImpWater/bm,,Pop/gm,Pop/sm,Pop/bm,,GDP/gm/1x10^9,GDP/sm,GDP/bm,,IncomePP/gm,IncomePP/sm,IncomePP/bm,,Debt/gm,Debt/sm,Debt/bm,,Continent% of gm,Continent% of sm,Continent% of bm
GBR,,79.19,62232000,2431590000000,23,100,1369,1589,6311,112.33,14,1529,33650,8.2,58729,0.4,22,12.6,8.4,6,2,UK,29,17,19,,2.7306896552,4.6582352941,4.1678947368,,3.4482758621,5.8823529412,5.2631578947,,47.2068965517,80.5294117647,72.0526315789,,2145931.03448276,3660705.88235294,3275368.42105263,,83.8479310345,143.0347058824,127.9784210526,,54.7931034483,93.4705882353,83.6315789474,,3.8734482759,6.6076470588,5.9121052632,,44.85%,50.00%,48.60%
UKR,98,67.31,45871000,165245000000,31,96,1320,1282,9145,120.55,84,2578,6110,7,19169,-0.8,21,45,7,27,2,Ukraine,6,5,9,,11.2183333333,13.462,7.4788888889,,16,19.2,10.6666666667,,220,264,146.6666666667,,7645166.66666667,9174200,5096777.77777778,,27.5408333333,33.049,18.3605555556,,213.6666666667,256.4,142.4444444444,,20.0916666667,24.11,13.3944444444,,44.85%,50.00%,48.60%
DZA,99,71.97,35468000,188681000000,11,85,70,72,603,84.93,65,1391,5940,3.5,9553,1.5,7,22.7,3.6,41,3,Algeria,1,0,0,,71.97,0,0,,85,0,0,,70,0,0,,35468000,0,0,,188.681,0,0,,72,0,0,,84.93,0,0,,3.65%,3.95%,3.09%
AGO,56,42.3,19082000,100990000000,,53,202,206,455,35.62,231,926,3890,1.8,222,2.8,4,13.4,2.7,276,3,Angola,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
BEN,59,56.15,8850000,7294865847,,67,273,279,55,16.44,39,448,1250,5.4,12,3.1,4,46.7,5.3,148,3,Benin,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
BWA,57,49.7,2007000,17627441191,4,95,16,16,13,68.49,548,126,11730,7,38,1.2,5,23.3,7.2,128,3,Botswana,0,1,0,,0,49.7,0,,0,95,0,,0,16,0,,0,2007000,0,,0,17.627441191,0,,0,16,0,,0,68.49,0,,3.65%,3.95%,3.09%
BFA,42,51.88,16468000,10187211704,,61,779,795,61,16.44,25,724,1130,6.7,58,3,4,43.1,6.4,206,3,Burkina Faso,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
BDI,47,49.03,8382000,2325972144,,79,307,314,105,5.48,84,722,320,3.4,14,3.9,4,75.4,3,186,3,Burundi,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
CMR,58,50.29,19599000,25464850391,2,66,1869,1899,22,27.4,121,1419,2060,5.2,147,2.1,5,71.9,5.2,155,3,Cameroon,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
CAF,47,,4401000,2165868600,,75,323,327,143,21.92,,306,690,4,13,1.7,6,64.4,3.9,174,3,Central African Republic,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
TCD,24,50.62,11227000,9485741541,,42,637,648,276,19.18,62,555,1170,3.7,15,3.1,5,64.4,3.6,214,3,Chad,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
COG,,1.3,4043000,14748024198,,28,85,89,11,16,409,30.5,84.4,47.1,124,3689,19,2,0,121,3,Congo,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
COD,,0.2,65965000,15642236881,,42,2951,3003,2762,2339,397,25.1,67.2,34.6,,60644,16,1,0,193,3,Democratic Republic of Congo,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
DJI,66,54.44,889000,1140000000,2,54.75,17.5,18,12,76.71,387,90,2180,6.2,60,1.8,5,24.6,6.7,143,3,Djibouti,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
EGY,86,,81121000,229531000000,24,98,1314,1332,787,76.71,16,2178,4940,6.1,25170,1.8,7,59.3,6.3,37,3,Egypt,0,2,0,,0,0,0,,0,49,0,,0,657,0,,0,40560500,0,,0,114.7655,0,,0,666,0,,0,38.355,0,,3.65%,3.95%,3.09%
GNQ,60,51.02,700000,19789801404,3,43,41,42,18,,113,37,16620,1.7,15,2.4,6,21.7,1.5,213,3,Equatorial Guinea,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
ERI,32,57.34,5254000,2608715447,,60,224,227,76,13.7,78,438,680,3.7,16,3.6,4,62.7,4.5,80,3,Eritrea,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
ETH,44,52.39,82950000,31708848033,,22,3580,3639,1307,10.96,157,6081,630,4.9,93,2.5,5,39.6,4.9,132,3,Ethiopia,3,1,3,,17.4633333333,52.39,17.4633333333,,7.3333333333,22,7.3333333333,,1193.3333333333,3580,1193.3333333333,,27650000,82950000,27650000,,10.569616011,31.708848033,10.569616011,,1213,3639,1213,,3.6533333333,10.96,3.6533333333,,3.65%,3.95%,3.09%
GAB,37,56.74,1505000,17051616749,3,88,60,61,9,46.58,195,135,11180,4.1,66,1.5,7,21.3,3.7,102,3,Gabon,0,1,0,,0,56.74,0,,0,88,0,,0,60,0,,0,1505000,0,,0,17.051616749,0,,0,61,0,,0,46.58,0,,3.65%,3.95%,3.09%
GMB,72,,1729000,1109306596,1,82,220,224,9,73.97,126,124,1110,5.2,43,2.8,6,41.7,4.3,121,3,Gambia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
GHA,27,59.63,24392000,39199656051,2,75,960,978,198,19.18,54,1572,1240,6.2,393,2.1,6,63.5,6.2,121,3,Ghana,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
GIN,31,55.42,9982000,5131221608,1,50,920,937,134,27.4,76,1138,1130,5.6,60,2,5,87.7,5.7,172,3,Guinea,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
GNB,57,46.17,1515000,973427456.5,1,59,58,60,13,16.44,111,99,460,5.2,22,3,5,75.3,6.2,220,3,Guinea Bissau,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
CIV,46,47.95,19738000,24074625536,1,84,727,740,227,32.88,,1192,1580,3.9,339,1.8,5,77,3.8,148,3,Ivory Coast,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
KEN,46,53.33,40513000,33620684016,1,61,813,827,801,54.8,288,2111,1470,4.5,1340,2.6,4,51.8,4.6,130,3,Kenya,2,4,5,,26.665,13.3325,10.666,,30.5,15.25,12.2,,406.5,203.25,162.6,,20256500,10128250,8102600,,16.810342008,8.405171004,6.7241368032,,413.5,206.75,165.4,,27.4,13.7,10.96,,3.65%,3.95%,3.09%
LSO,61,43.09,2171000,2426200017,,79,154,156,32,41.1,545,391,1810,9.4,16,0.7,7,38.4,6.7,140,3,Lesotho,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
LBR,49,45.2,3994000,1161000000,,61,101,104,28,10.96,100,256,260,6.4,13,3.9,4,36.1,5.6,249,3,Liberia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
LBY,97,73.65,6355000,71950000000,13,71,89,89,78,90.41,,175,11630,3.2,850,2,6,29.8,2.9,18,3,Libya,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
MDG,48,58.9,20714000,9946995390,3,46,933,949,318,21.92,102,1795,870,3.2,410,2.7,5,37.2,3.2,121,3,Madagascar,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
MWI,62,47.48,14901000,5700383783,,73,180,183,61,24.66,193,1405,690,12.2,,2.6,5,27.9,12.3,126,3,Malawi,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
MLI,59,53.8,15370000,10589925352,,50,973,988,504,30.14,40,1076,1000,5.8,84,3,5,48.3,6,228,3,Mali,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
MRT,49,63.68,3460000,4075675053,1,53,126,127,25,109.59,73,209,1970,2.7,64,2.7,5,31.4,2.2,134,3,Mauritania,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
MAR,88,70.78,31951000,100221000000,5,81,120,121,579,98.63,86,1247,3860,5.3,3091,1.2,8,64.1,5.1,41,3,Morocco,0,0,1,,0,0,70.78,,0,0,81,,0,0,120,,0,0,31951000,,0,0,100.221,,0,0,121,,0,0,98.63,,3.65%,3.95%,3.09%
MOZ,53,42.57,23390000,12797754231,,43,3759,3810,39,19.18,162,1654,660,4.3,159,2.1,5,30.6,4.7,140,3,Mozambique,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
NAM,50,52.55,2283000,12300698895,3,87,15,16,13,84.93,739,109,4770,5.3,113,1.3,5,35.6,4.9,67,3,Namibia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
NER,43,56.27,15512000,6016960988,,46,437,445,48,16.44,59,532,630,3.8,15,3.5,5,47.3,4,257,3,Niger,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
NGA,53,46.8,158423000,235923000000,3,48,3536,3595,617,30.14,44,8030,1410,3.9,2482,2.4,5,69.9,4.1,196,3,Nigeria,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
RWA,56,45.53,10624000,6377408665,,74,825,839,286,5.48,78,878,730,7.2,21,2.5,4,36.3,10.4,165,3,Rwanda,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
SEN,79,62.7,12434000,14291456855,,76,901,918,125,38.36,83,640,1560,5.4,97,2.5,6,68.5,5.4,123,3,Senegal,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
SLE,53,42.18,5867000,2242960927,,57,212,216,43,10.96,121,362,610,3.7,5,2.8,5,51,3.5,286,3,Sierra Leone,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
SOM,48,47.6,9331000,1071000000,,29,458,465,155,,157,906,,2.6,15,3,4,55.4,2.6,144,3,Somalia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
ZAF,79,50.35,49991000,408237000000,8,88,786,827,1113,90.41,564,3681,8900,8.7,5995,0.7,7,58.1,8.6,72,3,South Africa,3,2,1,,16.7833333333,25.175,50.35,,29.3333333333,44,88,,262,393,786,,16663666.6666667,24995500,49991000,,136.079,204.1185,408.237,,275.6666666667,413.5,827,,30.1366666667,45.205,90.41,,3.65%,3.95%,3.09%
SDN,50,58.01,43552000,55097394769,3,70,622,629,293,57.53,75,1354,1780,3.8,944,2.2,6,62.9,3.8,84,3,Sudan,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
SWZ,59,40.68,1056000,3977754360,2,62,57,57,11,136.99,717,150,4700,6.3,32,0.8,5,38,5.9,173,3,Swaziland,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
TZA,53,51.8,44841000,23705302063,,62,888,905,561,19.18,159,6009,980,5.1,267,2.5,5,40.8,5.5,120,3,United Republic of Tanzania,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
TGO,71,58.21,6028000,3594513925,,52,210,214,43,16.44,41,349,770,5.3,19,2.7,5,72.2,5.5,122,3,Togo,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
TUN,96,73.7,10549000,45863804800,13,93,99,100,208,95.89,21,229,6490,5.5,2452,1.1,9,56.3,5.3,25,3,Tunisia,1,1,1,,73.7,73.7,73.7,,93,93,93,,99,99,99,,10549000,10549000,10549000,,45.8638048,45.8638048,45.8638048,,100,100,100,,95.89,95.89,95.89,,3.65%,3.95%,3.09%
UGA,54,50.61,33424000,16809623489,,60,362,369,339,24.66,142,1932,880,7,363,3.2,4,73.1,7.2,140,3,Uganda,1,0,0,,50.61,0,0,,60,0,0,,362,0,0,,33424000,0,0,,16.809623489,0,0,,369,0,0,,24.66,0,0,,3.65%,3.95%,3.09%
ZAM,59,41.59,12927000,19206011889,1,58,527,535,208,46.58,432,1340,1140,5.6,491,1.9,5,53.2,5.2,190,3,Zambia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
ZWE,63,42.61,12571000,9900000000,2,81,774,783,308,104.11,385,1492,,8.1,310,0.8,5,47.4,8.4,90,3,Zimbabwe,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3.65%,3.95%,3.09%
BHS,100,,343000,7787514000,11,97,5,4,18,126.03,17,9,,6.7,21,1.2,10,48.9,6.9,16,4,The Bahamas,1,0,0,,0,0,0,,97,0,0,,5,0,0,,343000,0,0,,7.787514,0,0,,4,0,0,,126.03,0,0,,19.93%,15.13%,16.01%
BLZ,71,75.99,345000,1474000000,11,91,4,2,18,136.99,37,16,7080,4.9,32,2.2,6,40.5,5.3,18,4,Belize,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
BMU,,,64600,6015000000,,,,,,104.11,5,,,,,,,,,,4,Bermuda,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
CAN,100,80.36,34126000,1736050000000,19,100,845,855,2027,172.6,5,581,36280,9.7,38310,0.9,18,29.6,10,6,4,Canada,1,5,12,,80.36,16.072,6.6966666667,,100,20,8.3333333333,,845,169,70.4166666667,,34126000,6825200,2843833.33333333,,1736.05,347.21,144.6708333333,,855,171,71.25,,172.6,34.52,14.3833333333,,19.93%,15.13%,16.01%
CRI,89,78.62,4659000,41006959585,13,97,103,86,633,156.16,12,210,9220,7.1,1905,1.6,8,23.9,7,13,4,Costa Rica,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
CUB,99,77.99,11258000,64100000000,59,91,300,305,498,117.81,7,567,,7.6,9841,0.1,16,9.3,7.1,7,4,Cuba,5,3,6,,15.598,25.9966666667,12.9983333333,,18.2,30.3333333333,15.1666666667,,60,100,50,,2251600,3752666.66666667,1876333.33333333,,12.82,21.3666666667,10.6833333333,,61,101.6666666667,50.8333333333,,23.562,39.27,19.635,,19.93%,15.13%,16.01%
DOM,81,,9927000,55611245616,19,95,328,236,386,109.59,,562,5550,5.4,7000,1.5,8,68.8,6,31,4,Dominican Republic,1,1,0,,0,0,0,,95,95,0,,328,328,0,,9927000,9927000,0,,55.611245616,55.611245616,0,,236,236,0,,109.59,109.59,0,,19.93%,15.13%,16.01%
SLV,77,71.59,6193000,23054100000,12,84,124,89,495,93.15,27,609,5610,7,3465,1.4,8,41.3,7,28,4,El Salvador,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
GTM,90,69.94,14389000,46900000257,9,95,146,153,480,109.59,26,628,5120,5.2,2046,2.5,6,62.3,5.3,41,4,Guatemala,0,1,0,,0,69.94,0,,0,95,0,,0,146,0,,0,14389000,0,,0,46.900000257,0,,0,153,0,,0,109.59,0,,19.93%,15.13%,16.01%
HTI,57,60.22,9993000,7346156703,3,54,595,622,617,65.75,154,1484,1070,6.2,94,1.6,6,32.4,8,83,4,Haiti,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
HND,87,69.79,7600000,17259407972,6,87,80,82,260,109.59,49,361,3420,7.5,1371,2,6,52.2,7.4,28,4,Honduras,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
JAM,91,72.44,2702000,15069767442,9,93,44,47,285,147.95,3,151,7050,4.7,212,0.6,10,46.9,5.1,33,4,Jamaica,4,4,4,,18.11,18.11,18.11,,23.25,23.25,23.25,,11,11,11,,675500,675500,675500,,3.7674418605,3.7674418605,3.7674418605,,11.75,11.75,11.75,,36.9875,36.9875,36.9875,,19.93%,15.13%,16.01%
MEX,91,75.87,113423000,1155320000000,20,97,2361,1672,4502,131.51,18,5777,11990,6.4,78281,1,9,56.7,6.2,38,4,Mexico,1,3,3,,75.87,25.29,25.29,,97,32.3333333333,32.3333333333,,2361,787,787,,113423000,37807666.6666667,37807666.6666667,,1155.32,385.1066666667,385.1066666667,,1672,557.3333333333,557.3333333333,,131.51,43.8366666667,43.8366666667,,19.93%,15.13%,16.01%
NIC,56,72.38,5789000,7297481501,4,79,108,78,291,98.63,35,354,2720,8.3,243,1.3,6,45.3,7.8,39,4,Nicaragua,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
PAN,89,75.33,3517000,30676800000,15,90,46,34,225,87.67,51,166,8690,7.3,2231,1.7,9,31.2,7.3,26,4,Panama,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19.93%,15.13%,16.01%
TTO,100,69.61,1341000,22483115868,8,91,11,9,66,156.16,13,73,16800,4.5,107,0.4,10,45.9,4.2,39,4,Trinidad and Tobago,1,0,3,,69.61,0,23.2033333333,,91,0,30.3333333333,,11,0,3.6666666667,,1341000,0,447000,,22.483115868,0,7.494371956,,9,0,3,,156.16,0,52.0533333333,,19.93%,15.13%,16.01%
USA,100,77.89,309349000,15094000000000,26,100,8381,10200,13710,191.78,,5214,44070,15.9,463663,1,17,54.2,15.3,8,4,US,46,29,29,,1.6932608696,2.685862069,2.685862069,,2.1739130435,3.4482758621,3.4482758621,,182.1956521739,289,289,,6724978.26086957,10667206.8965517,10667206.8965517,,328.1304347826,520.4827586207,520.4827586207,,221.7391304348,351.724137931,351.724137931,,4.1691304348,6.6131034483,6.6131034483,,19.93%,15.13%,16.01%
ARG,92,75.08,40412000,445989000000,30,96,1044,703,2888,112.33,25,1679,11670,10.2,28900,1,14,54.5,10.1,18,5,Argentina,1,1,2,,75.08,75.08,37.54,,96,96,48,,1044,1044,522,,40412000,40412000,20206000,,445.989,445.989,222.9945,,703,703,351.5,,112.33,112.33,56.165,,1.66%,3.29%,4.49%
BOL,60,65.14,9929000,24426829466,12,85,91,96,490,76.71,106,987,3810,6.9,5997,1.9,7,37.2,6.6,62,5,Bolivia,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
BRA,83,72.04,194946000,2476650000000,12,90,3326,2220,13358,153.43,43,8286,8700,7.9,190448,1.3,9,52.1,7.5,22,5,Brazil,3,5,9,,24.0133333333,14.408,8.0044444444,,30,18,10,,1108.6666666667,665.2,369.5555555556,,64982000,38989200,21660666.6666667,,825.55,495.33,275.1833333333,,740,444,246.6666666667,,51.1433333333,30.686,17.0477777778,,1.66%,3.29%,4.49%
CHL,95,78.38,17113688,248585000000,11,95,454,297,3206,126.03,13,931,11300,5.4,6750,1,12,47.3,5.3,10,5,Chile,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
COL,96,72.59,46295000,331655000000,14,93,1091,476,5159,134.25,23,3296,6130,7.3,33951,1.4,8,14.6,7.3,24,5,Colombia,1,3,4,,72.59,24.1966666667,18.1475,,93,31,23.25,,1091,363.6666666667,272.75,,46295000,15431666.6666667,11573750,,331.655,110.5516666667,82.91375,,476,158.6666666667,119,,134.25,44.75,33.5625,,1.66%,3.29%,4.49%
ECU,94,74.79,14465000,67002768302,15,94,422,255,1636,101.37,34,1064,6810,5.3,2062,1.1,9,56.4,5.4,26,5,Ecuador,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
GUY,86,66.01,755000,2260000000,5,83,5,2,33,98.63,86,71,3410,5.4,30,-0.1,9,15.5,5.5,68,5,Guyana,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
PRY,94,71.5,6454000,23877089240,11,86,70,51,296,63.01,35,513,4040,7.3,3182,1.9,7,61.7,7.6,24,5,Paraguay,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
PER,74,71.04,29076000,176662000000,12,83,892,599,3459,104.11,123,2663,6490,4.3,2809,1.1,8,42.9,4.3,27,5,Peru,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
PRI,,78.5,3978000,99202000000,,,63.5,64,333,,3,75,,,,,,,,,5,Puerto Rico,0,1,1,,0,78.5,78.5,,0,0,0,,0,63.5,63.5,,0,3978000,3978000,,0,99.202,99.202,,0,64,64,,0,0,0,,1.66%,3.29%,4.49%
SUR,99,69.93,525000,3790000000,5,92,2,2,21,150.69,26,26,7720,5.3,4,0.6,9,58.1,7.4,44,5,Suriname,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
URY,100,76.11,3357000,46709797684,37,100,49,35,396,104.11,19,162,9940,8.1,3936,0.2,18,56.5,8.2,16,5,Uruguay,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1.66%,3.29%,4.49%
VEN,71,,28834000,316482000000,19,83,396,293,1606,98.63,26,1705,10970,4.7,13680,1.7,8,50.5,5.1,23,5,Venezuela,1,0,0,,0,0,0,,83,0,0,,396,0,0,,28834000,0,0,,316.482,0,0,,293,0,0,,98.63,0,0,,4.65%,6.25%,5.06%
AUS,100,81.19,22299000,1371760000000,25,100,477,510,1370,128.77,5,249,33940,8.8,21296,1.1,18,32.8,8.7,6,6,Australia,7,16,12,,11.5985714286,5.074375,6.7658333333,,14.2857142857,6.25,8.3333333333,,68.1428571429,29.8125,39.75,,3185571.42857143,1393687.5,1858250,,195.9657142857,85.735,114.3133333333,,72.8571428571,31.875,42.5,,18.3957142857,8.048125,10.7308333333,,4.65%,6.25%,5.06%
FJI,87,68.54,860000,3812749216,5,47,16,17,15,120.55,16,61,4450,4.1,60,0.6,7,29.1,4,19,6,Fiji,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4.65%,6.25%,5.06%
IDN,73,70.13,239870000,846832000000,1,77,8632,9155,2712,43.84,113,7566,3310,2.1,7093,1.2,8,49.6,2.2,36,6,Indonesia,0,1,1,,0,70.13,70.13,,0,77,77,,0,8632,8632,,0,239870000,239870000,,0,846.832,846.832,,0,9155,9155,,0,43.84,43.84,,4.65%,6.25%,5.06%
NZL,,79.94,4368000,141406000000,21,97,95,112,261,164.38,8,82,25750,8.9,1620,1,17,22.2,9.4,7,6,New Zealand,6,2,5,,13.3233333333,39.97,15.988,,16.1666666667,48.5,19.4,,15.8333333333,47.5,19,,728000,2184000,873600,,23.5676666667,70.703,28.2812,,18.6666666667,56,22.4,,27.3966666667,82.19,32.876,,4.65%,6.25%,5.06%
PNG,67,57.08,6858000,12937183216,,39,275,290,64,,207,341,1630,4.2,90,2.2,4,17.3,3.2,77,6,Papua New Guinea,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4.65%,6.25%,5.06%
VUT,78,69.63,240000,819227088.4,1,60,14,15,2,38.36,35,8,3480,4.3,,2.5,5,35.3,4.2,36,6,Vanuatu,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4.65%,6.25%,5.06%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Pop,Total GDP,,,,,,,,,,,,,,,,,,,Total Gold,Total Silver,Total Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6889016802,70236407945892.7,,,,,,,,,,,,,,,,,,,301,304,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1338300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
